day_number,post_title,song_title,artist,album_or_year,quote_text,full_post_content,rating,created_at,status
26,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day26,為你寫下這首情歌,五月天,2022年,"又是什麼因果
前世千次的錯過
換來一刻的回眸
終於讓此生 曾經有你 患難與共","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day26

＂又是什麼因果
前世千次的錯過
換來一刻的回眸
終於讓此生 曾經有你 患難與共＂ ── 五月天《為你寫下這首情歌》

#五月天 #阿信",1,2026-09-11 12:41:39,ready_to_post
27,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day27,因為你 所以我,五月天,2020年,"人類 為何 都愛看天空
背上 卻都 有一對傷口
生在 這個 凡人的星球
是否 不配 作天使的夢","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day27

＂人類 為何 都愛看天空
背上 卻都 有一對傷口
生在 這個 凡人的星球
是否 不配 作天使的夢＂ ── 五月天《因為你 所以我》

#五月天 #阿信",2,2026-09-11 12:43:18,ready_to_post
28,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day28,因為你 所以我,五月天,2020年,"人生 只是 須臾的剎那
人間 只是 天地的夾縫
人們 何苦 要活成修羅
活在 執著 對錯的牢籠","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day28

＂人生 只是 須臾的剎那
人間 只是 天地的夾縫
人們 何苦 要活成修羅
活在 執著 對錯的牢籠＂ ── 五月天《因為你 所以我》

#五月天 #阿信",2,2026-09-11 12:43:47,ready_to_post
29,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day29,我,五月天,2002年,"還記得 小時候 作文簿上的志願
那天真 的幻想 如今都到哪裡躲藏?","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day29

＂還記得 小時候 作文簿上的志願
那天真 的幻想 如今都到哪裡躲藏?＂ ── 五月天《我》

#五月天 #阿信",1,2026-09-11 13:02:34,ready_to_post
30,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day30,聽不到,五月天,2005年,"我的聲音在笑 淚在飆
電話那頭的你可知道
世界若是那麼小
為何我的真心 你聽不到","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day30

＂我的聲音在笑 淚在飆
電話那頭的你可知道
世界若是那麼小
為何我的真心 你聽不到＂ ── 五月天《聽不到》

#五月天 #阿信",2,2026-09-11 13:04:18,ready_to_post
31,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day31,任性,五月天,2024年,"走過了風風雨雨 看過了高高低低
你始終安安靜靜 像孩子仰望星星","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day31

＂走過了風風雨雨 看過了高高低低
你始終安安靜靜 像孩子仰望星星＂ ── 五月天《任性》

#五月天 #阿信",2,2026-09-11 13:06:12,ready_to_post
32,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day32,任性,五月天,2024年,"這世界破破爛爛 為了你縫縫釘釘
此刻的轟轟烈烈都會是點點滴滴","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day32

＂這世界破破爛爛 為了你縫縫釘釘
此刻的轟轟烈烈都會是點點滴滴＂ ── 五月天《任性》

#五月天 #阿信",2,2026-09-11 13:06:43,ready_to_post
33,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day33,任性,五月天,2024年,"即使要失去所有 也為你叛道離經
像最桀驁的翅膀拒絕引力","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day33

＂即使要失去所有 也為你叛道離經
像最桀驁的翅膀拒絕引力＂ ── 五月天《任性》

#五月天 #阿信",2,2026-09-11 13:07:13,ready_to_post
34,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day34,夜訪吸血鬼,五月天,2008年：後青春期的詩,"夜色就是我的披肩 日出就是我的風險
舞池裡的狂顛 是我宿命制約","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day34

＂夜色就是我的披肩 日出就是我的風險
舞池裡的狂顛 是我宿命制約＂ ── 五月天《夜訪吸血鬼》

#五月天 #阿信",3,2026-09-11 13:10:39,ready_to_post
35,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day35,夜訪吸血鬼,五月天,2008年：後青春期的詩,"無法揮舞天使的純潔 也無法擁有魔鬼的果決
只有像每個人類 貪嗔痴傻和愚昧
找尋著體溫和血 找尋著同類","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day35

＂無法揮舞天使的純潔 也無法擁有魔鬼的果決
只有像每個人類 貪嗔痴傻和愚昧
找尋著體溫和血 找尋著同類＂ ── 五月天《夜訪吸血鬼》

#五月天 #阿信",3,2026-09-11 13:11:25,ready_to_post
36,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day36,夜訪吸血鬼,五月天,2008年：後青春期的詩,"青春遺忘我們 卻又要給
回憶的美 就像玫瑰
要餘生流血又流淚的受虐","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day36

＂青春遺忘我們 卻又要給
回憶的美 就像玫瑰
要餘生流血又流淚的受虐＂ ── 五月天《夜訪吸血鬼》

#五月天 #阿信",1,2026-09-11 13:12:48,ready_to_post
37,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day37,不見不散,阿信,2003年,,"《一天一段阿信如詩一般的詞，直到下一場演唱會》Day37

＂我切切的切切在盼 一顆心滾滾的滾滾在翻
等到夜沉沉的沉沉在散 期待卻不肯由濃烈轉淡＂ ── 阿信《不見不散》

#五月天 #阿信",2,2026-09-11 13:15:03,ready_to_post
38,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day38,不見不散,阿信,2003年,,"《一天一段阿信如詩一般的詞，直到下一場演唱會》Day38

＂不見不散 一整夜沉默的紅地磚
不見不散 諾言在空氣中一直瀰漫＂ ── 阿信《不見不散》

#五月天 #阿信",2,2026-09-11 13:16:40,ready_to_post
39,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day39,不見不散,阿信,2003年,,"《一天一段阿信如詩一般的詞，直到下一場演唱會》Day39

＂不見不散 這期盼終於長出枝蔓
攀附著天生的貪婪 直到愛變成了一場災難＂ ── 阿信《不見不散》

#五月天 #阿信",2,2026-09-11 13:17:01,ready_to_post
40,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day40,當每顆星星,阿信,2018年,"那失眠無垠了黑夜
任黑夜豢養著思念
讓思念模糊了雙眼 wow","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day40

＂那失眠無垠了黑夜
任黑夜豢養著思念
讓思念模糊了雙眼＂ ── 阿信《當每顆星星》

#五月天 #阿信",3,2026-09-11 13:17:55,ready_to_post
41,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day41,當每顆星星,阿信,2018年,"當每顆星星都在嗚咽 都在落淚
每個幻想 都已幻滅
是否能相信 妳會出現？","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day41

＂當每顆星星都在嗚咽 都在落淚
每個幻想 都已幻滅
是否能相信 妳會出現？＂ ── 阿信《當每顆星星》

#五月天 #阿信",2,2026-09-11 13:18:19,ready_to_post
42,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day42,當每顆星星,阿信,2018年,"那三月綻放了誓言
在四月遺落了謊言
而五月我依然眷戀 wow","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day42

＂那三月綻放了誓言
在四月遺落了謊言
而五月我依然眷戀 ＂ ── 阿信《當每顆星星》

#五月天 #阿信",2,2026-09-11 13:18:57,ready_to_post
43,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day43,盛夏光年,阿信,2006年,,"《一天一段阿信如詩一般的詞，直到下一場演唱會》Day43

＂盛夏的一場狂歡 來到了光年之外
長大難道是人必經的潰爛＂ ── 阿信《盛夏光年》

#五月天 #阿信",3,2026-09-11 13:22:12,ready_to_post
44,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day44,青空未來,阿信,2021年,"你迂迴 你徘徊 你期待 你深愛
用盡一場青春的混亂
提煉一個渴望的答案
而你 是否依然敢瘋敢愛","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day44

＂你迂迴 你徘徊 你期待 你深愛
用盡一場青春的混亂
提煉一個渴望的答案
而你 是否依然敢瘋敢愛＂ ── 阿信《青空未來》

#五月天 #阿信",2,2026-09-11 13:24:22,ready_to_post
45,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day45,玫瑰少年,蔡依林,2018年,"亂世總是最不缺耳語 哪種美麗會喚來妒忌?
你並沒有罪 有罪是這世界","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day45

＂亂世總是最不缺耳語 哪種美麗會喚來妒忌?
你並沒有罪 有罪是這世界＂ ── 蔡依林《玫瑰少年》

#五月天 #阿信",2,2026-09-11 13:29:57,ready_to_post
46,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day46,玫瑰少年,蔡依林,2018年,"Oh 哪朵玫瑰沒有荊棘?
最好的報復是美麗 最美的盛開是反擊
Oh 別讓誰去改變了你
你是你或是妳都行 會有人全心的愛你","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day46

＂哪朵玫瑰沒有荊棘
最好的 報復是 美麗 
最美的 盛開是 反擊＂ ── 蔡依林《玫瑰少年》

#五月天 #阿信",2,2026-09-11 13:31:25,ready_to_post
47,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day47,玫瑰少年,蔡依林,2018年,,"《一天一段阿信如詩一般的詞，直到下一場演唱會》Day47

＂別讓誰去 改變了你
你是你 或是妳 都行
會有人 全心的 愛你＂ ── 蔡依林《玫瑰少年》

#五月天 #阿信",3,2026-09-11 13:32:25,ready_to_post
48,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day48,玫瑰少年,蔡依林,2018年,"玫瑰少年在我心裡
綻放著鮮豔的傳奇 我們都從來沒忘記","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day48

＂玫瑰少年在我心裡
綻放著 鮮豔的 傳奇
我們都 從來沒 忘記＂ ── 蔡依林《玫瑰少年》

#五月天 #阿信",2,2026-09-11 13:33:14,ready_to_post
49,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day49,玫瑰少年,蔡依林,2018年,"你的控訴沒有聲音
卻傾訴更多的真理 卻喚醒無數的真心","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day49

＂你的控訴沒有聲音
卻傾訴 更多的 真理 
卻喚醒 無數的 真心＂ ── 蔡依林《玫瑰少年》

#五月天 #阿信",3,2026-09-11 13:33:30,ready_to_post
50,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day50,洋蔥,楊宗緯,2008年,"我就像一顆洋蔥 永遠是配角戲
多希望能與妳 有一秒 專屬的劇情","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day50

＂我就像一顆洋蔥 永遠是配角戲
多希望能與妳 有一秒 專屬的劇情＂ ── 楊宗緯《洋蔥》

#五月天 #阿信",2,2026-09-11 13:36:18,ready_to_post
51,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day51,雌雄同體,五月天,時光機]],"PM七點鏡子前的自己 琢磨屬於自己的美麗
輕輕刮去嘴角鬍青 畫上我的本性 淡紫色眼影
粉色雙唇的喃喃自語","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day51

＂PM七點鏡子前的自己 琢磨屬於自己的美麗
輕輕刮去嘴角鬍青 畫上我的本性 淡紫色眼影
粉色雙唇的喃喃自語＂ ── 五月天《雌雄同體》

#五月天 #阿信",3,2026-09-11 13:41:47,ready_to_post
52,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day52,雌雄同體,五月天,時光機]],"你也許避我唯恐不及 你也許把我當作異形
可是你如何真的確定 靈魂找到自己 的樣貌和身體","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day52

＂你也許避我唯恐不及 你也許把我當作異形
可是你如何真的確定 靈魂找到自己 的樣貌和身體＂ ── 五月天《雌雄同體》

#五月天 #阿信",2,2026-09-11 17:06:05,ready_to_post
53,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day53,賭神,五月天,時光機]],"繁華背面黑街的場景
我跟良心在演對手戲
一個上帝怎麼能抵擋
一萬種的貪慾","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day53

＂繁華背面黑街的場景
我跟良心在演對手戲
一個上帝怎麼能抵擋
一萬種的貪慾＂ ── 五月天《賭神》

#五月天 #阿信",2,2026-09-11 17:10:22,ready_to_post
54,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day54,恆星的恆心,五月天,時光機]],帶走迴盪的回憶 你像流浪的流星 把我丟在黑夜 想著你,"《一天一段阿信如詩一般的詞，直到下一場演唱會》Day54

＂帶走迴盪的回憶 你像流浪的流星 
把我丟在黑夜 想著你＂ ── 五月天《恆星的恆心》

#五月天 #阿信",2,2026-09-11 17:13:11,ready_to_post
55,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day55,恆星的恆心,五月天,時光機]],"你要離開的黎明 我的眼淚在眼睛 下定決心 我決定
用恆星的恆心 等你 等你","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day55

＂你要離開的黎明 
我的眼淚在眼睛 
下定決心 我決定
用恆星的恆心 等你 等你＂ ── 五月天《恆星的恆心》

#五月天 #阿信",2,2026-09-11 17:14:34,ready_to_post
56,《一天一段阿信如詩一般的詞，直到下一場演唱會》Day56,一顆蘋果,五月天,2001年：人生海海,"那時間忘記挽留 最美時候 不經意匆匆的放過
曾經想擁抱的彩虹 盛開的花朵 那純真的笑容
突然有風吹過 那一轉眼 只剩我","《一天一段阿信如詩一般的詞，直到下一場演唱會》Day56

＂那時間忘記挽留 最美時候 不經意匆匆的放過
曾經想擁抱的彩虹 盛開的花朵 那純真的笑容
突然有風吹過 那一轉眼 只剩我＂ ── 五月天《一顆蘋果》

#五月天 #阿信",1,2026-09-11 17:18:10,ready_to_post
